name,lat,lon,kind,district
Aksaray,41.014417,28.953952,aq_station,
Alibeyköy,41.057384,28.946119,aq_station,
Arnavutköy,41.220921,28.707561,aq_station,
Avcılar,40.98727,28.730426,aq_station,
Bağcılar,41.032752,28.842946,aq_station,
Beylikdüzü,40.971651,28.61277,aq_station,
Beşiktaş,41.052013,29.009401,aq_station,
Büyükada,40.852148,29.118047,aq_station,
D-100,40.993367,29.070213,aq_station,
Esenler,41.036871,28.888071,aq_station,
Kadıköy,40.990817,29.033376,aq_station,
Kandilli 1,41.062481,29.058245,aq_station,
Kartal,40.911043,29.183055,aq_station,
Kağıthane 1,41.078507,28.970788,aq_station,
Kumköy,41.250437,29.038287,aq_station,
Maslak,41.100072,29.024512,aq_station,
Mobil,41.057945,28.945424,aq_station,
Sancaktepe,41.00323,29.225945,aq_station,
Sarıyer,41.127926,29.048491,aq_station,
Selimiye,41.003765,29.027002,aq_station,
Sultangazi 1,41.109144,28.894343,aq_station,
Sultangazi 2,41.107739,28.874376,aq_station,
Sultangazi 3,41.114416,28.851942,aq_station,
Tuzla,40.843122,29.302622,aq_station,
Yenibosna,40.997387,28.827032,aq_station,
Çatladıkapı,41.002339,28.975121,aq_station,
Ümraniye 1,41.012691,29.161813,aq_station,
Üsküdar 1,41.014262,29.02469,aq_station,
Arnavutköy,41.1838,28.7396,district,Arnavutköy
Avcılar,40.9712,28.7185,district,Avcılar
Bahçelievler,41.006125,28.846375,district,Bahçelievler
Bakırköy,40.984133,28.855867,district,Bakırköy
Bağcılar,41.03848,28.84701,district,Bağcılar
Başakşehir,41.0719,28.6901,district,Başakşehir
Beyoğlu,41.0227,28.9723,district,Beyoğlu
Beşiktaş,41.0741,29.022267,district,Beşiktaş
Büyükçekmece,41.023,28.6209,district,Büyükçekmece
Eyüp,41.08116,28.94432,district,Eyüp
Fatih,41.01435,28.94845,district,Fatih
Kağıthane,41.0836,29.0081,district,Kağıthane
Sarıyer,41.136,29.0262,district,Sarıyer
Ümraniye,41.0246,29.0915,district,Ümraniye
Üsküdar,41.0157,29.0574,district,Üsküdar
Şişli,41.0567,28.98905,district,Şişli
Ataşehir,40.992,29.127,landmark,Ataşehir
